14_LAT,14_AMP,14_LAR,14_AAMP,14_ALAR,14_PAR,14_NAR,14_TAR,14_ATAR,14_TAAR,14_AASS,14_PP,14_PPT,14_PPS,14_ZC,14_ZCD,21_LAT,21_AMP,21_LAR,21_AAMP,21_ALAR,21_PAR,21_NAR,21_TAR,21_ATAR,21_TAAR,21_AASS,21_PP,21_PPT,21_PPS,21_ZC,21_ZCD,22_LAT,22_AMP,22_LAR,22_AAMP,22_ALAR,22_PAR,22_NAR,22_TAR,22_ATAR,22_TAAR,22_AASS,22_PP,22_PPT,22_PPS,22_ZC,22_ZCD,27_LAT,27_AMP,27_LAR,27_AAMP,27_ALAR,27_PAR,27_NAR,27_TAR,27_ATAR,27_TAAR,27_AASS,27_PP,27_PPT,27_PPS,27_ZC,27_ZCD,target
15,10,0.7188212848223343,12.474378391565407,0.7188212848223343,361.13625877351734,-418.7993020340601,-57.6630432605427,57.6630432605427,779.9355608075772,0.781535866555758,23.25669766390042,-19,-1.2240367191526538,25,-1.3157894736842106,15,11,0.7691937137369055,12.002431675265568,0.7691937137369055,399.2735336090803,-459.85451412643556,-60.58098051735519,60.58098051735519,859.1280477355162,0.8532908179576846,23.540337381319148,-22,-1.0700153355145068,30,-1.3636363636363635,15,12,0.8248312199200688,12.372468298801031,0.8248312199200688,411.557572830048,-474.46950397710697,-62.9119311470596,62.9119311470596,886.0270768071539,0.8781865915966733,24.07989835934218,-21,-1.1466618266353419,26,-1.2380952380952381,15,11,0.764815429859858,11.472231447897869,0.764815429859858,373.9104791046318,-406.4361630639031,-32.525683959271255,32.525683959271255,780.3466421685348,0.7903745105138077,21.17794996849617,-17,-1.2457617628527158,27,-1.588235294117647,28
6,3,0.6545806336947173,3.927483802168304,0.6545806336947173,144.43909082036507,-123.31212304480157,21.126967775563447,21.126967775563447,267.7512138651664,0.5551610756063349,7.625899443366445,-118,-0.06462626646920716,67,-0.5677966101694916,6,2,0.4492460535007507,2.695476321004504,0.4492460535007507,77.85861023441153,-88.86348845006769,-11.004878215656152,11.004878215656152,166.7220986844792,0.30814619547950883,4.598658196526997,-64,-0.07185403432073433,127,-1.984375,6,3,0.5326050386324714,3.1956302317948286,0.5326050386324714,97.17136371295142,-93.06240805582533,4.10895565712619,4.10895565712619,190.23377176877676,0.3542770231393019,5.681965316462826,-118,-0.04815224844460022,96,-0.8135593220338984,14,7,0.5106402167529043,7.148963034540659,0.5106402167529043,215.15547523407696,-193.6809785480948,21.47449668598213,21.47449668598213,408.83645378217165,0.5305963487589472,10.694095859173643,-195,-0.0548415172265315,50,-0.2564102564102564,28
34,28,0.8380421509564697,29.40654792922573,0.8380421509564697,1484.8854720516135,-979.8212570055825,505.06421504603117,505.06421504603117,2464.7067290571945,3.0386219074836,57.899981061745706,-46,-1.2586952404727327,5,-0.10869565217391304,34,22,0.667078492179593,25.449899721500035,0.667078492179593,1307.6699476644615,-867.9906282149012,439.67931944956155,439.67931944956155,2175.6605758793635,3.0168265658623987,48.130568455606195,-46,-1.0463167055566565,9,-0.1956521739130435,33,24,0.7562034795374212,24.9547148247349,0.7562034795374212,1519.088691809556,-956.9326457337894,562.1560460757664,562.1560460757664,2476.021337543345,2.9797620494841253,47.47941964472624,-47,-1.0102004179728987,4,-0.0851063829787234,34,24,0.721789164331964,25.47279015669149,0.721789164331964,1456.4356766045867,-967.8062491203357,488.62942748425075,488.62942748425075,2424.2419257249235,3.0724524531721227,50.01362174397827,-46,-1.0872526466082233,5,-0.10869565217391304,28
112,50,0.44977454982544546,50.374749580449894,0.44977454982544546,2184.623232825024,-2315.0674058848485,-130.44417305982404,130.44417305982404,4499.690638709873,4.249079300815257,91.99216166018525,48,1.916503367920526,4,0.08333333333333333,241,5,0.023526416102329,5.66986628066129,0.023526416102329,202.62036087229006,-194.14539980810082,8.474961064189216,8.474961064189216,396.7657606803908,0.5295196046585815,9.704952534253282,54,0.17972134322691263,40,0.7407407407407407,241,5,0.024307122495012358,5.858016521297978,0.024307122495012358,218.72777292863293,-215.02158759204792,3.706185336585112,3.706185336585112,433.7493605206808,0.554029730120088,10.363670307030713,155,0.0668623890776175,41,0.2645161290322581,223,13,0.05853384644682661,13.524619607520156,0.05853384644682661,760.1516739296858,-719.3656895021206,40.78598442756516,40.78598442756516,1479.517363431808,1.7059905739129846,26.57766736516249,59,0.45046893839258456,9,0.15254237288135594,28
12,6,0.5582352238433003,10.505680848203031,0.5582352238433003,337.8603157896113,-418.71314928821675,-80.85283349860553,80.85283349860553,756.5734650778281,0.7089838879343225,17.204503534322633,-23,-0.7480218927966362,25,-1.0869565217391304,1,7,7.243186692314744,12.154546927879222,7.243186692314744,388.5909161513552,-469.6988322003293,-81.10791604897406,81.10791604897406,858.2897483516833,0.7633812537367219,19.397733620193968,-33,-0.5878101097028475,29,-0.8787878787878788,12,7,0.6497915329987418,11.614185669478612,0.6497915329987418,400.2595950374578,-471.10132161695856,-70.84172657950069,70.84172657950069,871.3609166544165,0.7894958473840893,19.411684065463515,-22,-0.882349275702887,27,-1.2272727272727273,109,7,0.06802286046723674,11.289582840037678,0.06802286046723674,356.86984020432664,-445.3679606207682,-88.49812041644121,88.49812041644121,802.2378008250944,0.7101347769434108,18.70407463096648,75,0.24938766174621974,28,0.37333333333333335,28
178,3,0.019927682568294174,3.547127497156363,0.019927682568294174,117.49189082338215,-115.2060850774973,2.285805745884912,2.285805745884912,232.6979759008796,0.43704675997924863,6.0328892974617245,39,0.15468946916568524,88,2.2564102564102564,38,2,0.06442178873653343,2.44802797198827,0.06442178873653343,77.82776232881568,-80.61214681902551,-2.7843844902097548,2.7843844902097548,158.43990914784104,0.23555111098694761,4.289064274678254,16,0.2680665171673909,109,6.8125,103,2,0.022729011436838555,2.3410881779943713,0.022729011436838555,85.68539640998448,-91.55630085874682,-5.87090444876232,5.87090444876232,177.2416972687313,0.2748510804963379,4.212327253043393,81,0.05200404016102954,85,1.0493827160493827,180,5,0.029244762587249347,5.264057265704882,0.029244762587249347,198.77677421897513,-184.27038776339776,14.506386455577303,14.506386455577303,383.04716198237304,0.46357470201590345,9.591803151866884,32,0.2997438484958401,39,1.21875,28
41,27,0.6696865751241242,27.45714958008909,0.6696865751241242,1365.1464535762273,-892.3570689533136,472.7893846229128,472.7893846229128,2257.5035225295405,2.2237458947103663,48.518045311421346,-116,-0.4182590113053564,9,-0.07758620689655173,41,23,0.5724885795815577,23.472031762843866,0.5724885795815577,1203.6454301914127,-718.6127088827329,485.0327213086806,485.0327213086806,1922.2581390741454,2.01851914747069,39.11597727089553,36,1.0865549241915424,7,0.19444444444444445,99,24,0.24862091177318027,32.640732084319154,0.24862091177318027,1074.7340757123775,-1164.0334957317482,-89.29942001937104,89.29942001937104,2238.7675714441248,2.184457983095564,57.254202349864,93,0.6156365844071398,10,0.10752688172043011,41,21,0.5331693395101734,21.85994291991711,0.5331693395101734,1285.3676010406439,-841.6871494684401,443.6804515722044,443.6804515722044,2127.054750509086,2.2325184614813804,41.661418570238354,35,1.1903262448639529,16,0.45714285714285713,28
217,15,0.07180649636835419,15.582009711932859,0.07180649636835419,658.4582097603035,-544.8708517027159,113.58735805758741,113.58735805758741,1203.3290614630198,1.5541081685042415,28.30171635897688,-25,-1.1320686543590752,11,-0.44,32,4,0.129480586688922,4.67917406456305,0.129480586688922,192.1226474420975,-196.58987727404048,-4.467229831942946,4.467229831942946,388.7125247161379,0.5382809715837303,8.822552838608555,-28,-0.3150911728074484,49,-1.75,234,3,0.017024432028495733,4.830443461732468,0.017024432028495733,211.77291824152962,-192.51032959805337,19.262588643476175,19.262588643476175,404.28324783958294,0.5452243309748981,8.81416055640047,55,0.16025746466182672,46,0.8363636363636363,120,6,0.051160868174286916,7.755640861724814,0.051160868174286916,322.58429773552297,-332.194543180661,-9.610245445138055,9.610245445138055,654.7788409161836,0.8382047650370081,13.894945042639243,-60,-0.23158241737732072,25,-0.4166666666666667,28
119,9,0.08269189196197746,9.840335143475318,0.08269189196197746,355.77225150910346,-427.2008283262402,-71.42857681713672,71.42857681713672,782.9730798353432,0.7275077754059053,17.66318527432514,-91,-0.19410093708049606,34,-0.37362637362637363,119,8,0.07501388514032814,8.92665233169905,0.07501388514032814,352.05129468427384,-436.84652663022706,-84.79523194595305,84.79523194595305,788.8978213145023,0.780900272810962,17.7780934134963,-92,-0.19324014579887283,26,-0.2826086956521739,119,10,0.08538322995500082,10.160604364645097,0.08538322995500082,365.39585418345655,-455.5698339726033,-90.17397978914681,90.17397978914681,820.96568815606,0.7806187749405011,20.27134225373605,-94,-0.2156525771674048,28,-0.2978723404255319,89,6,0.07362502419632722,8.069386263692838,0.07362502419632722,294.7866220831,-372.96782760914556,-78.18120552604567,78.18120552604567,667.7544496922452,0.7476351869165898,14.62201341716596,-124,-0.11791946304166097,32,-0.25806451612903225,28
4,4,1.2063530950020769,8.346015892937906,1.2063530950020769,217.8309520192824,-390.8320633585715,-173.00111133928883,173.00111133928883,608.663015377854,0.5754517306687997,13.171428272946214,-31,-0.424884782998265,32,-1.032258064516129,85,2,0.0348330399332676,5.243108794263082,0.0348330399332676,137.52193413017292,-244.37512270758813,-106.85318857741517,106.85318857741517,381.89705683776083,0.30769320339805895,8.203917188590829,42,0.19533136163311499,43,1.0238095238095237,126,2,0.02265374270385897,6.4896254997332985,0.02265374270385897,157.1155072868326,-282.6094681186101,-125.49396083177754,125.49396083177754,439.72497540544276,0.3090304961150094,9.343997080419529,83,0.11257827807734372,35,0.42168674698795183,93,7,0.07739757624735212,15.082415372536458,0.07739757624735212,389.77306517872665,-697.007420308459,-307.23435512973197,307.23435512973197,1086.7804854871858,0.5387745769490703,22.280389963540205,59,0.3776337281955967,11,0.1864406779661017,28
